id_ousias,onoma_ousias
1,"(3s,10s,14s)-1-[4-[[(2s)-4-Carboxy-2-[(2s)-4-Carboxy-2-(6-[18f] Fluoropyridin-3-Amido)butanamido]butanamido]methyl]phenyl]-3-[(Naphthalen-2-Yl)methyl]-1,4,12-Trioxo-2,5,11,13-Tetraazahexadecane-10,14,16-Tricarboxylic Acid"
2,(R)-Alpha-Glycerophosphorylethanolamine Monohydrate
3,"(S)-Lactic Acid, Salicylic Acid"
4,"1,2-Benzisothiazolin-3-One 1,1-Dioxide Sodium Salt"
5,"1,3-Dibutyl-2-Thiourea"
6,"1,4-Bis(2,3-Epoxypropoxy)butane"
7,"1,6-Diamino-2,4,4-Trimethylhexane"
8,"1,6-Hexanediol Diglycidyl Ether (Technical Grade)"
9,"1-Naphthaleneacetic Acid, Tolylmethylcarbinol Nicotinate"
10,1-Propanol
11,"100 Ml Consists Of: Distillate From A Macerate Of Melissa Officinalis Leaf 429-536 Mg,helenii Rhizoma 226-714 Mg, Angelica Root 209-714 Mg, Zingiber Officinale Rhizome 235-714 Mg, Syzygium Aromaticum Flos 190-285 Mg, Galangal Rhizome 70-285 Mg, Piper Nigrum Fruit 16-71 Mg, Gentiana Root 571-714 Mg, Nutmeg Seeds 36-71 Mg, Bitter-Orange Epicarp And Mesocarp 99-714 Mg, Cinnamomi Cortex 223-321 Mg, Cinnamon Blossom 15-36 Mg, Cardamomi Fructus 6-10 Mg: Extraction Solvent: Ethanol 79% (V/V)"
12,12 Grass Pollen Mixture
13,13 Grass Pollen Mixture
14,131i-Meta-Iodobenzyl-Guanidine Sulfate
15,13c-Urea
16,"2,2'-Dibenzothiazyl Disulfide"
17,"2,4 Dichlorobenzyl Alcohol, Cetrimide Ph. Eur., Allantoin Bp"
18,"2,5-Diaminotoluene"
19,2-(2-Aminoethoxy)ethanol
20,2-Hydroxyethyl Methacrylate
21,"2-Naphthol, Salicylic Acid"
22,2-Propanol (Ph. Eur.)
23,2-Propanol (Ph.Eur.) 70% (V/V)
24,"2.1% Sodium Chloride-Water (Brine) Sulfide, Iodide"
25,"3,3-Diphosphono-1,2-Propanedicarboxylic Acid, Tetrasodium Salt (Dpd)"
26,3-Aminophenol
27,3-Hydroxy-2-Naphthanilide
28,"4,4-Methylenedianiline"
29,4-(4-Hydroxy-4-Methylpentyl)cyclohex-3-Ene-1-Carbaldehyde
30,4-Amino-3-Phenylbutyric Acid
31,4-Dimethylaminophenol Hydrochloride
32,4-Fluoro-N-[2-[4-(2-Methoxyphenyl)piperazin-1-Yl]ethyl]-N-Pyridin-2-Ylbenzamide
33,4-Tert-Butylcatechol
34,4-Tert-Butylphenol
35,4-Toluenesulfonamide-Formaldehyde Resin
36,"5'-Capped Mrna Encoding Sars-Cov-2, Variant Lp.8.1, Spike Protein, Pre-Fusion Stabilised (K981p And V982p)"
37,5-Aminolevulinic Acid
38,5-Methyltetrahydrofolate Di Calcium Pentahydrate
39,7-Ethylbicyclooxazolidine
40,A-Amyl Cinnamaldehyde
41,A/California/7/2009 (H1n1) V Reass. X - 179 A
42,"A/California/7/2009 (H1n1)pdm09-Like Strain, A/Texas/50/2012 (H3n2), B/Brisbane/60/2008"
43,A/California/7/2009(H1n1)-Like Strain (Nymc X-179a)
44,"A/California/7/2009(H1n1)-Like Strain (Nymc X-179a), A/Perth/16/2009 (H3n2) - Like Strain (A/Victoria/210/2009 Reass. Nymc X-187), B/Brisbane/60/2008 - Derived Strain Used Nymc Bx-35"
45,A/Turkey/Turkey/1/05 (H5n1)-Like Strain (Nibrg-23)
46,"A/Vietnam/1203/2004 (H5n1) Strain (A/Vietnam/1203/2004, Medi 0141000136)"
47,Abacavir
48,Abacavir Sulfate
49,"Abacavir Sulfate, Lamivudine"
50,"Abacavir, Lamivudine"
51,"Abacavir, Lamivudine, Dolutegravir"
52,Abaloparatide
53,Abatacept
54,Abemaciclib
55,Abietic Acid
56,Abiraterone
57,Abiraterone Acetate
58,Abiraterone Acetate | Prednisolone
59,Abrocitinib
60,Absinthii Herba
61,"Absinthium Tincture, Belladonna Tincture, Mentha Piperita Tincture, Valerian Tincture"
62,"Absinthium Tincture, Belladonna Tincture, Valerian Tincture, Menthae Piperitae Tinctura"
63,Acacia Dealbata Link.
