Medicine_Name,Active_Substance
Olanzapine Glenmark Europe,olanzapine
Olanzapine Glenmark,olanzapine
Elebrato Ellipta,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate
Trelegy Ellipta,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate
Opdivo,nivolumab
Remsima,infliximab
Arava,leflunomide
Pandemic influenza vaccine H5N1 AstraZeneca (previously Pandemic influenza vaccine H5N1 Medimmune),reassortant influenza virus (live attenuated) of the following strain: A/Vietnam/1203/2004 (H5N1) strain
Genvoya,elvitegravir;cobicistat;emtricitabine;tenofovir alafenamide
Ixiaro,"Japanese-encephalitis virus, inactivated (attenuated strain SA14-14-2 grown in vero cells)"
Gardasil 9,"human papillomavirus vaccine [types 6, 11, 16, 18, 31, 33, 45, 52, 58] (recombinant, adsorbed)"
Loargys,Pegzilarginase
Esbriet,Pirfenidone
Teriflunomide Viatris (previously Teriflunomide Mylan),teriflunomide
Tenofovir disoproxil Viatris (previously Tenofovir disoproxil Mylan),tenofovir disoproxil
Bimzelx,bimekizumab
Teduglutide Viatris,teduglutide
Bylvay,odevixibat
Strimvelis,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells
Latuda,lurasidone
Talmanco (previously Tadalafil Generics),tadalafil
Rivaroxaban Viatris (previously Rivaroxaban Mylan),rivaroxaban
Ritonavir Viatris (previously Ritonavir Mylan),ritonavir
Itovebi,inavolisib
Pregabalin Viatris (previously Pregabalin Mylan),pregabalin
Pomalidomide Viatris,Pomalidomide
Emtricitabine / Rilpivirine / Tenofovir Alafenamide Viatris,emtricitabine;rilpivirine hydrochloride;tenofovir alafenamide fumarate
Mayzent,siponimod fumaric acid
Nintedanib Viatris,nintedanib
Kanjinti,trastuzumab
Teizeild,teplizumab
Dupixent,dupilumab
Mysildecard,sildenafil
Febuxostat Viatris (previously Febuxostat Mylan),febuxostat
Entecavir Viatris (previously Entecavir Mylan),entecavir monohydrate
Eltrombopag Viatris,eltrombopag olamine
Duloxetine Viatris (previously Duloxetine Mylan),duloxetine
Darunavir Viatris (previously Darunavir Mylan),darunavir
Ibandronic Acid Sandoz,ibandronic acid
Dapagliflozin Viatris,dapagliflozin
Cinacalcet Viatris (previously Cinacalcet Mylan),cinacalcet hydrochloride
Rapilysin,reteplase
Afiveg,aflibercept
Ambrisentan Viatris (previously Ambrisentan Mylan),ambrisentan
Loqtorzi,toripalimab
Humira,adalimumab
Atazanavir Viatris (previously Atazanavir Mylan),atazanavir (as sulfate)
Ilumetri,tildrakizumab
Comtan,entacapone
Arixtra,fondaparinux sodium
Fintepla,fenfluramine hydrochloride
Uzpruvo,ustekinumab
Dimethyl fumarate Mylan,dimethyl fumarate
Beovu,brolucizumab
Truvelog Mix 30,insulin aspart
CellCept,mycophenolate mofetil
Uplizna,inebilizumab
Olumiant,baricitinib
Kerendia,finerenone
Dovprela (previously Pretomanid FGK),pretomanid
Oncaspar,pegaspargase
Usgena,ustekinumab
Tolucombi,telmisartan;hydrochlorothiazide
Integrilin,eptifibatide
Imcivree,setmelanotide
Korjuny,catumaxomab
Truqap,capivasertib
Ifirmasta (previously Irbesartan Krka),irbesartan hydrochloride
Irbesartan Teva,irbesartan
Ogsiveo,nirogacestat hydrobromide
Rhapsido,remibrutinib
Bimervax,SARS-CoV-2 virus recombinant spike (S) protein receptor binding domain (RBD) fusion dimer produced by recombinant DNA technology
Onerji,levodopa;carbidopa
Palsonify,paltusotine hydrochloride
Ilaris,canakinumab
Mvabea,recombinant Modified Vaccinia Ankara Bavarian Nordic Virus encoding the: Ebola virus Zaire (ZEBOV) Mayinga strain glycoprotein (GP); Ebola virus Sudan Gulu strain GP; Ebola virus Taï Forest strain nucleoprotein and the Marburg virus Musoke strain GP
Zabdeno,recombinant adenovirus type 26 (Ad26) encoding the glycoprotein (GP) of the Ebola virus Zaire (ZEBOV) Mayinga strain
Qutenza,capsaicin
Comirnaty,"single-stranded, 5’-capped messenger RNA produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Leqembi,Lecanemab
Rapamune,sirolimus
Yeytuo,lenacapavir sodium
Scemblix,asciminib hydrochloride
mCombriax,"single-stranded, 5’-capped messenger RNAs (mRNAs) produced using a cell-free in vitro transcription from the corresponding DNA template, encoding seasonal influenza haemagglutinin (HA) glycoproteins: A/H1N1, A/H3N2, B/Victoria"
mResvia,Single-stranded 5' capped mRNA encoding the respiratory syncytial virus glycoprotein F stabilised in the prefusion conformation
Spikevax (previously COVID-19 Vaccine Moderna),"single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Neuraceq,florbetaben (18F)
Xromi,hydroxycarbamide
Siklos,hydroxycarbamide
Darzalex,daratumumab
Micardis,telmisartan
MicardisPlus,telmisartan;hydrochlorothiazide
Lopinavir/Ritonavir Viatris (previously Ritonavir Mylan),lopinavir;ritonavir
Tecentriq,atezolizumab
Perjeta,pertuzumab
Dazublys,trastuzumab
Vfend,voriconazole
Balversa,Erdafitinib
Ranluspec,ranibizumab
Besremi,ropeginterferon alfa-2b
Beyfortus,nirsevimab
Epidyolex,cannabidiol
Advate,octocog alfa
Caelyx pegylated liposomal,doxorubicin hydrochloride
Stelara,ustekinumab
Striascan,ioflupane (123l)
Ondibta,insulin glargine
Cenrifki,tolebrutinib
Itvisma,onasemnogene abeparvovec
Palbociclib Viatris,Palbociclib
Redemplo,plozasiran
Rexatilux,ranibizumab
Viokat,diazoxide choline
Vysribli (previously Denosumab Intas),denosumab
Terrosa,teriparatide
Kinpeygo,"budesonide, micronised"
Jayempi,azathioprine
Aptivus,tipranavir
Praxbind,idarucizumab
Jemperli,dostarlimab
Zilbrysq,zilucoplan
Opsumit,macitentan
Nulojix,belatacept
Taltz,ixekizumab
Amgevita,adalimumab
Movymia,teriparatide
Vyndaqel,tafamidis
Volibris,ambrisentan
Dabigatran Etexilate Accord,dabigatran etexilate mesilate
Forxiga,dapagliflozin propanediol monohydrate
Erleada,apalutamide
Ozempic,semaglutide
Rybelsus,semaglutide
Noxafil,posaconazole
Rotarix,"human rotavirus, live attenuated"
Irbesartan Zentiva (previously Irbesartan Winthrop),irbesartan
Keytruda,pembrolizumab
Enflonsia,clesrovimab
Pyrukynd,mitapivat sulfate
Verquvo,vericiguat
Veoza,fezolinetant
Ezmekly,mirdametinib
Arsenic trioxide medac,arsenic trioxide
Evrysdi,risdiplam
Orphacol,cholic acid
Ferriprox,Deferiprone
Roteas,edoxaban tosilate
Lixiana,edoxaban tosilate
Aclasta,zoledronic acid
Tepmetko,tepotinib hydrochloride monohydrate
Nobivac NXT HCPChFeLV,"feline herpesvirus 1 (FHV), strain G2620A, live;feline calicivirus (FCV), strain F9, live;feline panleucopenia virus (FPL), strain MW-1;chlamydia felis, strain Baker, live;feline leukemia virus (FeLV) glycoprotein RNA-particle"
Rezurock,belumosudil mesilate
Livmarli,Maralixibat chloride
Atriance,nelarabine
Steqeyma,ustekinumab
Qoyvolma,ustekinumab
