Code,Description
1111.01.01,Enzymes
1111.01.01.13.001,Creatine Kinase - Total CK
1111.01.01.26.001,"N-acetyl-b,D-Glucosaminidase b-NAG"
1111.02.01.04.002,Urea crearance
1111.02.01.15.002,Atherogenic index
1111.02.01.25.001,Porphobilinogen
1111.02.01.35.001,Protein Electroporesis
1111.04.01.03.001,Chloride - Electrodes Cl
1111.04.03.05.001,Urea - Electrodes UREA (electrode)
1111.05.01.90.900,Other Trace elements
1111.70.02.01.001,Urine Single Test Strips (incl. tablets)
1111.70.31,Point of Care Testing (POCT): Blood
1212.01.03.03.001,Haptoglobin
1212.01.04.03.001,Apolipoprotein B Apo B
1212.01.90.10.001,Amyloid A
1212.03.01.32.001,Total Prostatic Specific Antigen tPSA
1212.03.03,Oncoproteins
1212.03.90.16.002,Matrix-Metalloproteinase-9 MMP-9
1212.04.01.07.001,Thyroxine TT4
1212.05.01.05.001,Luteinising Hormone LH
1212.05.01.15.001,Corticosteron
1212.05.02.11.001,Placental Growth Factor (Pre-eclampsia) PLGF
1212.06.01.07.001,Thyrosin Phosphatase IA2 Antibodies IA2 Abs
1212.06.02.06.001,Renine Direct
1212.06.03.08.001,Deoxypyridinoline DPD
1212.06.03.22.001,Osteopontin OPN
1212.06.04.90.900,Endocrine Hormones and Peptides
1212.06.05.90.900,Other Neuroendocrine Function Assays
1212.06.90.15.001,Dopamine
1212.07.01.90.900,Other Anemia related tests
1212.08.01.02.001,Digitoxin
1212.08.02.03.001,Free Carbamazepine
1212.08.03.03.001,Dibekacin
1212.08.04.02.001,Theophylline
1212.09.01,Drugs of Abuse
1212.09.01.12.001,Morphines
1212.09.02.06.001,Doxepin plus metabolites
1212.09.02.90.900,Other Toxicology
1212.13.01.03.001,Heart-Type Fatty Acid-Binding Protein H-FABP
1212.14.01.11.001,Interleukin 1b IL-1b
1212.70.05.90.900,Other Fertility/Pregnancy Rapid Tests
1212.70.13,Cardiac Markers - Rapid Tests
1313.01.01.01.004,Complete Blood Count plus NRBC CBC-NRBC
1313.01.02.26.001,Heinz Bodies after incubation with acetylphenylhydrazine
1313.01.02.38.001,Estimation of HbF by methods of
1313.01.03.25.001,a-Naphthyl
1313.01.09.01.005,Pyrimidine-5-Nucleotidase
1313.01.09.22.001,Sucrose lysis test SUCROSE TEST
1313.02.01.90.900,Other Global Coagulation Tests
1313.02.02.12.001,Coagulation factor XII activity F XII
1313.02.02.28.001,Coagulation factor XIII
1313.02.03.07.001,Plasmin - a2 - Antiplasmin Complex
1313.02.04.01.001,Platelet activation in whole blood with different stimulators (per stimulator)
1313.02.05.03.002,D-Dimer (quantitative) D-
1313.02.06.04.001,Coagulation factor VIII Inhibitor
1313.02.06.11.001,APC Resistance APC-R
1313.02.70.90.900,Other Haemostasis Rapid Tests
1313.03.01.21.001,Bombay blood group
1313.03.02.90.900,Other Rhesus Typing Assays
1313.03.04.22.001,"Direct antiglobulin test with monospecific antiglobulin reagent (IgG, IgM,"
1313.03.04.34.001,Other elution techniques for investigation of a positive DAT
1313.03.05.90.010,M antigen typing
1313.03.90.23.001,Blood group chimerism by flow cytometry
1313.05.01.27.001,Flow cytometry immunophenotyping for myelodysplastic disorders (per
1313.05.01.39.001,DNA ploidy and S-phase fraction with flow cytometry
1313.05.01.51.001,Flow cytometry lymphocyte immunophenotyping-percentage and absolute
1414.01.04.22.001,STOOL CULTURE FOR CLOSTRIDIUM DIFFICILE
1414.01.04.35.001,CULTURE SAMPLES FROM RESPIRATORY SYSTEM FOR
1414.01.04.47.001,GENERAL EXAMINATION OF SEMEN
1414.01.04.59.001,CALTURE OF VASCULATURE/VENUS CATHETER
1414.01.08.25.001,CALCOFLUOR WHITE
1414.01.13.11.001,Mycobacteria Media / Bottles - Automated
1414.02.02,Biochemical Identification - Manual
1414.02.05,Susceptibility Testing - Manual
1414.02.05.28.001,SYNERGY TESTING
1414.03.01.20.001,CORNEUM SAMPLES
1414.03.01.32.001,DRAINAGE
1414.03.01.44.001,MOUTH WASHING IN LEUKEMIC PTS
1414.03.04.01.008,Based on microscopy morphology (moulds)
1414.03.05,Serological Identification (Mycology)
1414.03.06.90.900,Other Susceptibility Testing (Mycology)
1414.05.02.02.001,Plasmodium falciparum
1515.01.01.13.001,Chlamydia pneumoniae Antibody Assays Total
1515.01.03,Syphilis (Treponema pallidum)
1515.01.04.03.004,H. pylori Antibody Assays (Anti-CAG)
1515.01.06,Lyme Borreliosis LYME BORRELIOSIS
1515.01.08.03.001,Mycoplasma Antibody Assays
1515.01.10.90.900,Other Salmonella tests
1515.01.12.90.900,Other Staphylococci tests
1515.01.15,Escherichia Coli ESCHERICHIA COLI
1515.01.40.07.001,Bordetella pertussis / parapertussis - NA Reagents
1515.01.90.01.004,Brucella IgM antibodies
1515.01.90.05.003,Rickettsia rickettsii IgM antibodies
1515.01.90.13.001,Pseudomonas serotyping PSEUDOMONAS
1515.02.02.02.001,Hepatitis B Surface Antigen - Confirmatory
1515.02.02.24.001,Hepatitis Be Antibody (Total) Anti-HBe
1515.02.03.07.001,HCV Antibody - Confirmatory
1515.02.04.90.900,Other HDV tests
1515.02.07.02.001,HGV Antigen - Confirmatory
1515.02.24.90.900,Hepatitis X Virus
1515.03.02,HIV 2
1515.03.20.01.001,HIV Multiple Antigen
1515.03.30.90.900,Other HTLV I tests
1515.03.32.90.900,Other HTLV Multiple tests
1515.04.02.07.001,CMV IgG - Avidity
1515.04.03.11.001,HSV 2 IgG
1515.04.04.11.001,EBV EA IgG
1515.04.06.04.001,Mumps / Parotitis Virus Antibodies - Total
1515.04.40.01.001,Adenovirus - NA Reagents
1515.04.40.16.001,Norovirus - NA Reagents
1515.04.40.90.900,Other Virology - NA tests
1515.04.80.04.004,Influenza A IgM antibodies
1515.04.80.09.001,Parvovirus B 19 PARVO-
1515.04.80.14.002,Hantavirus / Bunyavirus IgG antibodies HANTA-
1515.04.80.18.002,Bocavirus VP1 IgG antibodies BOCA-
1515.04.80.24.002,HHV-6 IgG antibodies HHV-6 IgG
1515.04.80.27.002,Coxsackie B1-6 IgM antibodies COXSACKIE B1-6 IgM
1515.05.01.08.001,Toxoplasma Antibody IgA
1515.05.10.03.002,Distomatosis antibodies versus recombinant antigen
1515.05.10.06.003,Schistosoma haematobium IgG antibodies
1515.05.10.09.003,Plasmodium falciparum antisporozoite antibodies
1515.06.01.40.001,Candida
1515.70.01.02.003,H.pylori antibodies in urine H.PYLORI
1515.70.01.90.900,Other Bacteriology - Rapid Tests
1515.70.90.04.001,Influenza A and /or B - Rapid Test
1616.01.05.01.006,FXS PreMut
1616.01.05.01.018,SMA
1616.01.05.01.033,RDS
1616.01.05.01.045,PROP1
1616.01.05.01.057,CYP21A2
1616.01.05.01.069,PND  PAH
1616.01.05.01.081,Mut carrier
1616.01.05.01.095,Amnio-PCR
1616.01.05.01.108,PTEN
1616.01.05.01.120,HFE- C282Y mutation with allele-specific real-time PCR HFE.C282Y
1616.01.05.01.132,GPIIb/IIIa gene mutations
1616.01.06.01.001,PND Karyo
1616.02.05.01.005,DNA sequencing for ABL gene mutations ABL.Sq
1616.02.05.01.017,Quantification of JAK2-V617F gene copies with quantitative real time
1616.02.05.01.029,MLL/AF9 fusion transcripts (Reverse transcriptase PCR) MLL/AF9
1616.02.05.01.041,Quatification of TCRD gene clonal rearrangements with allele specific
1616.02.05.01.054,EWS/E1AF
1616.02.05.01.066,JAK2 ex12 gene mutations JAK2 ex12 mut
1616.02.06.01.010,Cytogenetic analysis in Acute Lymphoblastic Leukemia Karyo ALL
1616.02.06.01.022,Fluorescent in situ  hybridization analysis with unique sequence probe
1616.02.06.01.034,Fluorescent in situ  hybridization analysis with
1616.02.06.01.046,FISH SMS
1616.02.06.90.900,Other cytogenetics of acquired Gene or Chromosome Alterations
1717.02.01.02.034,CELL BLOCK
1717.04.01.04.001,Fontana Masson FONTANA MASSON
1717.04.01.17.001,Perls Prussian Blue PERLS PRUSSIAN BLUE
1717.04.01.29.001,Melanin Discoloration MELANIN DISCOLORATION
1717.05.01.01.004,CD3 (IHC) CD3 (IHC) CD3 (
1717.05.01.01.016,Cytokeratin 7 (IHC) CK 7 (IHC)
1717.05.01.01.028,Ki-67 (IHC) Ki-67 (IHC) KI-67 (
1717.05.01.01.040,Synaptophysin (IHC)
1717.05.01.01.053,CD15 (IHC) CD15 (IHC) CD15 (
1717.05.01.01.065,Gross Cystic Disease Fluid Protein-15 (IHC) GCDFP 15 (IHC)
1717.05.01.01.078,Heat Shock Protein 70 (IHC) HSP70 (IHC)
1717.05.01.01.090,Galectin 3 (IHC)
1717.05.01.01.102,Mucin 2 glycoprotein (IHC) MUC2 (IHC)
1717.05.01.01.114,BCL6 (IHC) BCL6 (IHC) BCL6 (
1717.05.01.01.126,CD43 (IHC) CD43 (IHC) CD43 (
1717.05.01.01.138,Fascin (IHC)
1717.05.01.01.150,Lysozyme (IHC)
1717.05.01.01.162,Zeta-chain (TCR) Associated Protein kinase 70kDa (IHC) ZAP-70 (IHC)
1717.05.01.01.176,Prolactin (IHC) PRL (IHC)
1717.05.01.01.188,TRAcP (IHC) TRAcP (IHC) TRAcP (
1717.05.01.01.200,Amyloid P (IHC) Amyloid P (IHC)
1717.05.01.01.212,Immunoglobin M (IF) IgM (IF)
1717.06.01.03.001,1p32 rearrangements (ISH) TAL1/STIL
1717.06.01.15.001,8 amplification (ISH) Cen8/MYC
1717.06.01.27.001,14q32 rearrangment (ISH) IGH
1717.06.01.39.001,t(6;9)(p23;q34) rearrangement (ISH) DEK/NUP214
1717.06.01.51.001,t(11;22)(q24;q12) rearrangement (ISH) EWS/FLI1
1717.06.01.64.001,HER2-NEU amplification c-ErbB2/HER2
1717.06.01.78.001,11p15 rearrangements (ISH) NUP98
1717.06.02.08.001,"cKIT mutations ex9, ex11 cKIT mut ex9, ex11 CKIT"
1717.06.02.20.001,PDGFRA mutations ex18 PDGFRA mut ex18 PDGFRA
1717.06.03.05.001,FLT-3 ITD mutations FLT-3 ITD
1717.06.03.17.001,PAX7/FKHR fusion transcripts PAX7/FKHR
1717.06.03.29.001,GNAS mutations exon 5 GNAS
1717.06.04.10.001,SDHD mutations
1717.06.04.23.001,FH mutations
1717.06.06.07.001,Treponema Pallidum
1818.01.01.20.001,Kappa and Lambda light chains
1818.01.01.41.001,Serum IgM
1818.01.02.11.001,Total Complement Activity (CH50) CH50
1818.02.01.20.001,Leukocyte Histamine Release LHR
1818.04.01.02.007,anti -HLA abs identification with Solid Phase Assays Luminex Class IIanti -HLA abs SAB
1818.04.01.03.008,Molecular typing of HLA-B Low Res. DNA HLA-B (LR)
1818.04.01.03.021,Molecular typing of HLA-DQA1High Res. DNA HLA-DQA1 (HR)
1818.04.01.03.033,Detection of T-cell clonality PCR-
1818.05.01.26.001,Endothelial cell crossmatch XM-ONE XM-ONE
1818.10.01.12.001,Anti-SS-A Antibodies
1818.10.02.07.001,Anti-MAG (Myelin Associated Glycoprotein)
1818.10.90,Other Auto-Immune Disease
1818.10.90.15.001,Antibodies to Glomerular Basal Membrane
1818.11.01.01.001,Anti-Streptococcal Deoxyribonuclease B (Anti-DNAase B) ADNase B
1818.90.90.90.900,OTHER OTHER IMMUNOLOGY TESTS
