kwdikos_farmakou,onoma_farmakou,
1,A,,
2,A,,
3,A 313,,
4,A 313,,
5,A.A.S,,
6,A.A.S.,,
7,A.Vogel Hyperiforce,,
8,A.Vogel Premenstrual Relief Pms,,
9,Aaa Sore Throat,,
10,Aacidexam,,
11,Aacidexam,,
12,Aacidexam,,
13,Aacifemine,,
14,Aacifemine,,
15,Aacifemine,,
16,Aacifemine,,
17,Aacifemine,,
18,Aarane N,,
19,Aas,,
20,Abacat,,
21,Abacavir / Lamivudine Auxilia,,
22,Abacavir / Lamivudine Biogaran,,
23,Abacavir + Lamivudina Aurovitas,,
24,Abacavir + Lamivudina Farmoz,,
25,Abacavir + Lamivudina Mylan,,
26,Abacavir + Lamivudine Sandoz,,
27,Abacavir Accord,,
28,Abacavir Accord,,
29,Abacavir Arrow,,
30,Abacavir Aurobindo,,
31,Abacavir E Lamivudina Aurobindo,,
32,Abacavir E Lamivudina Sun,,
33,Abacavir Farmoz,,
34,Abacavir Generis,,
35,Abacavir Milpharm,,
36,Abacavir Mylan,,
37,Abacavir Mylan,,
38,Abacavir Mylan,,
39,Abacavir Sandoz,,
40,Abacavir Sandoz,,
41,Abacavir Sulfate / Lamivudine Aurobindo,,
42,Abacavir Tarbis,,
43,Abacavir Viatris,,
44,Abacavir/Lamivudin Al,,
45,Abacavir/Lamivudin Aurobindo,,
46,Abacavir/Lamivudin Basics,,
47,Abacavir/Lamivudin Beta,,
48,Abacavir/Lamivudin Heumann,,
49,Abacavir/Lamivudin Hormosan,,
50,Abacavir/Lamivudin Medical Valley,,
51,Abacavir/Lamivudin Mylan,,
52,Abacavir/Lamivudin Mylan,,
53,Abacavir/Lamivudin Mylan,,
54,Abacavir/Lamivudin Mylan Pharma,,
55,Abacavir/Lamivudin Mylan Pharma,,
56,Abacavir/Lamivudin Puren,,
57,Abacavir/Lamivudin Ratiopharm,,
58,Abacavir/Lamivudin Ratiopharm,,
59,Abacavir/Lamivudin Sandoz,,
60,Abacavir/Lamivudin Sandoz,,
61,Abacavir/Lamivudin Stada,,
62,Abacavir/Lamivudin Teva,,
63,Abacavir/Lamivudin Teva,,
64,Abacavir/Lamivudin Viatris,,
65,Abacavir/Lamivudin Viatris,,
66,Abacavir/Lamivudin Viatris,,
67,Abacavir/Lamivudină,,
68,Abacavir/Lamivudina Aurovitas,,
69,Abacavir/Lamivudina Dr. Reddys,,
70,Abacavir/Lamivudina Glenmark,,
71,Abacavir/Lamivudina Macleods,,
72,Abacavir/Lamivudină Mylan,,
73,Abacavir/Lamivudina Tarbis,,
74,Abacavir/Lamivudina Teva,,
75,Abacavir/Lamivudina Viatris,,
76,Abacavir/Lamivudină Viatris,,
77,Abacavir/Lamivudina/Zidovudina Mylan,,
78,Abacavir/Lamivudine Accord,,
79,Abacavir/Lamivudine Accord,,
80,Abacavir/Lamivudine Accord,,
81,Abacavir/Lamivudine Accord,,
82,Abacavir/Lamivudine Accord,,
83,Abacavir/Lamivudine Accord,,
84,Abacavir/Lamivudine Amarox,,
85,Abacavir/Lamivudine Amarox,,
86,Abacavir/Lamivudine Amarox,,
87,Abacavir/Lamivudine Arrow,,
88,Abacavir/Lamivudine Auxilia,,
89,Abacavir/Lamivudine Dr. Reddy's,,
90,Abacavir/Lamivudine Eg,,
91,Abacavir/Lamivudine Glenmark,,
92,Abacavir/Lamivudine Glenmark,,
93,Abacavir/Lamivudine Glenmark,,
94,Abacavir/Lamivudine Lupin Healthcare (Uk),,
95,Abacavir/Lamivudine Macleods,,
96,Abacavir/Lamivudine Macleods,,
97,Abacavir/Lamivudine Macleods Pharma Uk,,
98,Abacavir/Lamivudine Medical Valley,,
99,Abacavir/Lamivudine Milpharm,,
100,Abacavir/Lamivudine Mylan,,
101,Abacavir/Lamivudine Mylan,,
102,Abacavir/Lamivudine Mylan,,
103,Abacavir/Lamivudine Mylan,,
104,Abacavir/Lamivudine Mylan,,
105,Abacavir/Lamivudine Mylan Pharma,,
106,Abacavir/Lamivudine Sandoz,,
107,Abacavir/Lamivudine Sandoz,,
108,Abacavir/Lamivudine Sandoz,,
109,Abacavir/Lamivudine Sandoz,,
110,Abacavir/Lamivudine Sandoz,,
111,Abacavir/Lamivudine Stada,,
112,Abacavir/Lamivudine Stada,,
113,Abacavir/Lamivudine Stada,,
114,Abacavir/Lamivudine Stada,,
115,Abacavir/Lamivudine Sun,,
116,Abacavir/Lamivudine Teva,,
117,Abacavir/Lamivudine Teva,,
118,Abacavir/Lamivudine Teva,,
119,Abacavir/Lamivudine Unifarma,,
120,Abacavir/Lamivudine Viatris,,
121,Abacavir/Lamivudine Viatris,,
122,Abacavir/Lamivudine Viatris,,
123,Abacavir/Lamivudine Viatris,,
124,Abacavir/Lamivudine Viatris,,
125,Abacavir/Lamivudine Viatris,,
126,Abacavir/Lamivudine Viatris,,
127,Abacavir/Lamivudine Viatris,,
128,Abacavir/Lamivudine Viatris,,
129,Abacavir/Lamivudine Viatris,,
130,Abacavir/Lamivudine Viatris Generiques,,
131,Abacavir/Lamivudine Zentiva,,
132,Abacavir/Lamivudine/Zidovudine Mylan,,
133,Abacavir/Lamivudine/Zidovudine Viatris,,
134,Abacavir+lamivudine Accord,,
135,Abacavir+lamivudine Mylan Pharma,,
136,Abagat,,
137,Abagat,,
138,Abakavir/Lamivudin Mylan Pharma,,
139,Abakavir/Lamivudin Viatris,,
140,Abaktal,,
141,Abaktal,,
142,Abalon,,
143,Aban,,
144,Abasaglar,,
145,Abasaglar,,
146,Abasaglar,,
147,Abasaglar Kwikpen,,
148,Abasaglar Kwikpen,,
149,Abasaglar Kwikpen,,
150,Abasaglar Tempo Pen,,
151,Abasaglar Tempo Pen,,
152,Abasaglar Tempo Pen,,
153,Abasaglar Tempo Pen,,
154,Abatixent,,
155,Abatixent,,
156,Abatixent,,
157,Abatixent,,
158,Abatixent,,
159,Abatixent,,
160,Abatixent,,
161,Abatixent,,
162,Abatixent,,
163,Abatixent,,
164,Abator,,
165,Abattra,,
166,Abavalex,,
167,Abavalex,,
168,Abavalex,,
169,Abavalex,,
170,Abavalex,,
171,Abavalex,,
172,Abavalex,,
173,Abavalex,,
174,Abavalex,,
175,Abavalex,,
176,Abaxan,,
177,Abba,,
178,Abbonate,,
179,Abbonate,,
180,Abbonate,,
181,Abbonate,,
182,Abbonate,,
183,Abboticin,,
184,Abboticin,,
185,Abboticin,,
186,Abboticin,,
187,Abboticin,,
188,Abboticin,,
189,Abboticin,,
190,Abboticin,,
191,Abboticin Es,,
192,Abboticin Novum,,
193,Abboticin Novum,,
194,Abboticin Novum,,
195,Abc Lokale Schmerz-Therapie Aktiv-Pflaster,,
196,Abc Lokale Schmerz-Therapie Wärme,,
197,Abc Lokale Schmerz-Therapie Wärme,,
198,Abc Lokale Schmerz-Therapie Wärme,,
199,Abc Lokale Schmerz-Therapie Wärme-Pflaster,,
200,Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies,,
201,Abdine Cold Relief,,
202,Abdine Hot Lemon Cold Relief,,
203,Abdomilon N Für Erwachsene Und Heranwachsende Ab 12 Jahren,,
204,Abdomin Citrus,,
205,Abdomin Citrus,,
206,Abdomin Junior Med Nøytral Smak,,
207,Abdomin Junior Neutral,,
208,Abdomin Junior Neutral,,
209,Abdomin Med Nøytral Smak,,
210,Abdomin Med Sitrussmak,,
211,Abdomin Neutral,,
212,Abdomin Neutral,,
213,Abe,,
214,Abeced,,
215,Abecma,,
216,Abecma,,
217,Abecma,,
218,Abecma,,
219,Abecol,,
220,Abedel,,
221,Abelcet,,
222,Abelcet,,
223,Abelcet,,
224,Abelcet,,
225,Abelcet Complejo Lipídico,,
226,Abelcet Lipid Complex,,
227,Abelcet Lipid Complex,,
228,Abelcet Lipid Complex,,
229,Abelfiz,,
230,Abella,,
231,Abemax,,
232,Abemot,,
233,Abemot 1 Mg,,
234,Abendur,,
235,Aberipra,,
236,Abernil,,
237,Abesart,,
238,Abesyl,,
239,Abevmy,,
240,Abevmy,,
241,Abevmy,,
242,Abevmy,,
243,Abfentiq,,
