ΚΩΔ. ΚΕΝ,ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΜΔΝ από 1/3/2012,Κόστος από 1/3/2012,70% κάλυψη σε ιδιωτικά ιδρύματα
Ε01Α,Μεταμόσχευση ήπατος,26,"28.900,00 €","20.230,00 €"
Ε03Α,Μεταμόσχευση καρδιάς-πνευμόνων,35,"50.400,00 €","35.280,00 €"
Ε04Α,Μεταμόσχευση πνευμόνων,20,"30.000,00 €","21.000,00 €"
Ε05Α,Μεταμόσχευση Καρδιάς Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,40,"34.000,00 €","23.800,00 €"
Ε06Μ,επιπλοκές Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις- επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές (συστηματικές),47,"20.000,00 €","14.000,00 €"
Ε06Χα,συνυπάρχουσες παθήσεις-επιπλοκές Μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές (συστηματικές),25,"12.000,00 €","8.400,00 €"
Ε06Χβ,συνυπάρχουσες παθήσεις-επιπλοκές Τραχειοστομία χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις-,16,"8.000,00 €","5.600,00 €"
Ε06Χγ,επιπλοκές,15,"4.000,00 €","2.800,00 €"
Ε07Α,Αλλογενής μεταμόσχευση μυελού οστών Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές (συστηματικές),34,"17.137,00 €","11.995,90 €"
Ε08Μ,συνυπάρχουσες παθήσεις- επιπλοκές Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές (συστηματικές),24,"8.384,00 €","5.868,80 €"
Ε08Χ,συνυπάρχουσες παθήσεις- επιπλοκές Μεταμόσχευση νεφρού με μεταμόσχευση,10,"3.054,00 €","2.137,80 €"
Ε09Μ,παγκρέατος Μεταμόσχευση νεφρού χωρίς,16,"15.000,00 €","10.500,00 €"
Ε09Χ,μεταμόσχευση παγκρέατος,8,"9.000,00 €","6.300,00 €"
Ε09Α,Μεταμόσχευση παγκρέατος Εμφύτευση συσκευών κοιλιακής,15,"9.733,00 €","6.813,10 €"
Ε10Α,υποβοήθησης ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Εισαγωγή εμφυτεύσιμης συσκευής έγχυσης στη σπονδυλική στήλη με καταστροφικές (συστηματικές),54,"55.695,00 €","38.986,50 €"
Ε11Μ,συνυπάρχουσες παθήσεις- επιπλοκές Εισαγωγή εμφυτεύσιμης συσκευής έγχυσης στη σπονδυλική στήλη χωρίς καταστροφικές (συστηματικές),15,"6.655,00 €","4.658,50 €"
Ε11Χ,συνυπάρχουσες παθήσεις- επιπλοκές,6,"3.320,00 €","2.324,00 €"
Ε12Α,Εισαγωγή συσκευής νευροδιέγερσης Αξιολόγηση ασθενούς για μεταμόσχευση (ημερήσιο κόστος μέχρι τις ημέρες της,3,"2.990,00 €","2.093,00 €"
Ε20Α,ΜΔΝ) Παθήσεις και διαταραχές του νευρικού ΤΚΑ 01 συστήματος (Ν) Αναθεώρηση (επανεπέμβαση) κοιλιακής παροχέτευσης με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,3,"300,00 €","210,00 €"
