kodikos_KEN,basiko_kostos,mesi_diarkeia_nosileias
Ε-ΤΚΑ,0.00,0
Ε01Α,24725.00,26
Ε03Α,34279.00,35
Ε04Α,27286.00,20
Ε05Α,31162.00,40
Ε06Μ,30946.00,47
Ε06Χα,16172.00,25
Ε06Χβ,12234.00,16
Ε06Χγ,7556.00,15
Ε07Α,17137.00,34
Ε08Μ,8384.00,24
Ε08Χ,3054.00,10
Ε09Μ,9549.00,16
Ε09Χ,5956.00,8
Ε09Α,9733.00,15
Ε10Α,55695.00,54
Ε11Μ,6655.00,15
Ε11Χ,3320.00,6
Ε12Α,2990.00,3
Ε13Α,27506.00,31
Ε14Μ,1500.00,75
Ε14Χ,700.00,75
Ε15Μ,1000.00,60
Ε15Χ,500.00,60
Ε16Α,1000.00,30
Ε17Α,1500.00,16
Ε18Α,1500.00,8
Ε19Α,1000.00,4
Ε20Α,300.00,3
ΤΚΑ 01,0.00,0
Ν01Μ,2298.00,7
Ν01Χ,1913.00,5
Ν02Μα,7620.00,18
Ν02Μβ,4606.00,11
Ν02Χ,3400.00,7
Ν03Μ,5442.00,15
Ν03Χ,2580.00,5
Ν04Μ,3880.00,12
Ν04Χ,2170.00,4
Ν05Α,346.00,1
Ν06Μ,2997.00,13
Ν06Χ,876.00,2
Ν07Μ,2284.00,9
Ν07Χ,973.00,2
Ν10Α,149.00,1
Ν11Α,1210.00,5
Ν12Μ,5241.00,13
Ν12Χ,3416.00,7
Ν20Μ,6290.00,25
Ν20Χ,2342.00,10
Ν21Μ,4509.00,16
Ν21Χ,1714.00,5
Ν22Α,209.00,1
Ν23Α,1326.00,13
Ν24Μ,2172.00,13
Ν24Χ,1054.00,6
Ν25Α,439.00,2
Ν26Μ,1875.00,9
Ν26Χ,792.00,4
Ν27Μα,2299.00,13
Ν27Μβ,1188.00,8
Ν27Χ,439.00,3
Ν28Μ,1733.00,9
Ν28Χ,513.00,2
Ν29Μ,1118.00,6
Ν29Χ,495.00,3
Ν30Α,382.00,2
Ν30Μα,2475.00,17
Ν30Μβ,1625.00,9
Ν30Χ,1082.00,6
Ν31Μ,1372.00,7
Ν31Χ,255.00,2
Ν32Μ,2226.00,14
Ν32Χ,1075.00,5
Ν33Α,672.00,3
Ν34Μ,920.00,5
Ν34Χ,340.00,2
Ν35Α,318.00,2
Ν36Μ,1351.00,6
Ν36Χ,439.00,2
Ν37Α,304.00,2
Ν38Μ,2115.00,10
Ν38Χ,799.00,4
Ν39Μ,1203.00,5
Ν39Χ,488.00,7
Ν40Α,248.00,1
Ν41Μ,1670.00,10
Ν41Χ,630.00,3
Ν42Μα,5277.00,23
Ν42Μβ,1960.00,11
Ν42Χ,1288.00,6
ΤΚΑ 02,0.00,0
Ο01Α,1269.00,3
Ο02Α,1464.00,3
Ο03Α,731.00,1
Ο04Α,1238.00,3
Ο05Α,788.00,1
Ο10Α,591.00,1
Ο11Α,581.00,1
Ο12Α,530.00,1
Ο13Α,305.00,1
Ο14Α,369.00,2
Ο15Α,933.00,2
Ο15Β,531.00,1
Ο16Α,466.00,1
Ο17Α,2203.00,10
Ο20Μ,1691.00,8
Ο20Χ,941.00,4
Ο21Μ,849.00,5
Ο22Α,297.00,2
Ο23Α,382.00,2
Ο61Χ,439.00,2
ΤΚΑ 03,0.00,0
Ω01Α,24000.00,2
Ω02Μα,4927.00,11
Ω02Μβ,2336.00,7
Ω02Χ,1391.00,2
Ω03Α,1165.00,4
Ω04Μ,2227.00,7
Ω04Χ,1383.00,2
Ω05Α,1648.00,3
Ω06Α,981.00,3
Ω10Α,707.00,2
Ω11Α,478.00,2
Ω12Α,836.00,2
Ω13Α,315.00,1
Ω14Α,673.00,3
Ω15Α,1817.00,3
Ω20Α,506.00,1
Ω30Μ,2080.00,9
Ω30Χ,496.00,2
Ω31Α,403.00,4
Ω32Α,325.00,2
Ω33Α,361.00,2
Ω34Α,262.00,3
Ω35Α,241.00,1
Ω36Μ,870.00,4
Ω36Χ,221.00,3
Ω37Α,231.00,1
Ω37Β,185.00,1
ΤΚΑ 04,0.00,0
Α01Μ,4274.00,15
Α01Χ,2465.00,7
Α02Μα,3565.00,16
Α02Μβ,1450.00,5
Α02Χ,621.00,1
Α10Μ,5241.00,12
Α10Χ,4019.00,8
Α11Χ,3304.00,12
Α12Α,240.00,1
Α12Μ,3622.00,17
Α12Χ,1634.00,7
Α20Μ,3360.00,13
Α20Χ,2398.00,10
Α21Μ,1988.00,11
Α21Χ,941.00,6
Α22Μα,1762.00,10
Α22Μβ,1040.00,8
Α22Χ,573.00,5
Α23Α,290.00,1
Α24Μ,1655.00,8
Α24Χ,863.00,4
Α25Μ,1446.00,9
Α25Χ,863.00,5
Α26Μα,2243.00,12
Α26Μβ,1068.00,5
Α26Χ,552.00,3
Α27Μ,785.00,4
Α27Χ,318.00,2
Α28Μ,1252.00,6
Α28Χ,566.00,3
Α29Μ,792.00,4
Α29Χ,361.00,2
Α30Μ,1210.00,5
Α30Χ,552.00,2
Α31Μ,1634.00,9
Α31Χ,828.00,5
Α32Α,769.00,4
Α33Μα,1839.00,10
Α33Μβ,948.00,5
Α33Χ,451.00,3
Α34Μα,1797.00,10
Α34Μβ,1266.00,7
Α34Χ,580.00,3
Α35Μα,1415.00,8
Α35Μβ,884.00,5
Α35Χ,432.00,2
Α36Α,2193.00,14
ΤΚΑ 05,0.00,0
Κ01Μ,13000.00,12
Κ01Χ,11291.00,3
Κ02Α,1897.00,4
Κ03Μ,11277.00,23
Κ03Χ,7475.00,13
Κ04Μ,8922.00,14
Κ04Χ,5828.00,8
Κ05Μ,8826.00,18
Κ05Χ,6495.00,13
Κ06Μ,5924.00,10
Κ06Χ,4276.00,7
Κ07Μα,8818.00,12
Κ07Μβ,6061.00,8
Κ07Χ,4758.00,7
Κ08Μ,7218.00,16
Κ08Χ,4219.00,7
Κ09Μα,5136.00,10
Κ09Μβ,3167.00,6
Κ09Χ,2169.00,4
Κ10Μ,3352.00,8
Κ10Χ,2476.00,4
Κ11Μ,6629.00,27
Κ11Χ,2930.00,14
Κ12Μ,3280.00,11
Κ12Χ,2831.00,4
Κ13Μ,3608.00,17
Κ13Χ,1139.00,7
