ID_klinis,typos,katastasi,ID_tmhmatos
1,πολύκλινο,διαθέσιμη,1
2,πολύκλινο,κατειλημμένη,1
3,πολύκλινο,κατειλημμένη,1
4,πολύκλινο,κατειλημμένη,1
5,πολύκλινο,κατειλημμένη,1
6,πολύκλινο,διαθέσιμη,1
7,μονόκλινο,κατειλημμένη,1
8,μονόκλινο,διαθέσιμη,1
9,πολύκλινο,κατειλημμένη,1
10,πολύκλινο,διαθέσιμη,1
11,πολύκλινο,κατειλημμένη,1
12,μονόκλινο,κατειλημμένη,1
13,πολύκλινο,διαθέσιμη,1
14,πολύκλινο,υπό συντήρηση,1
15,πολύκλινο,διαθέσιμη,1
16,μονόκλινο,διαθέσιμη,1
17,πολύκλινο,κατειλημμένη,1
18,πολύκλινο,διαθέσιμη,1
19,πολύκλινο,υπό συντήρηση,1
20,πολύκλινο,κατειλημμένη,1
21,πολύκλινο,κατειλημμένη,1
22,μονόκλινο,κατειλημμένη,1
23,πολύκλινο,κατειλημμένη,1
24,μονόκλινο,διαθέσιμη,1
25,μονόκλινο,κατειλημμένη,1
26,πολύκλινο,κατειλημμένη,2
27,πολύκλινο,κατειλημμένη,2
28,πολύκλινο,κατειλημμένη,2
29,πολύκλινο,διαθέσιμη,2
30,μονόκλινο,κατειλημμένη,2
31,πολύκλινο,κατειλημμένη,2
32,πολύκλινο,κατειλημμένη,2
33,πολύκλινο,διαθέσιμη,2
34,πολύκλινο,κατειλημμένη,2
35,πολύκλινο,υπό συντήρηση,2
36,μονόκλινο,υπό συντήρηση,2
37,μονόκλινο,διαθέσιμη,2
38,πολύκλινο,κατειλημμένη,2
39,μονόκλινο,υπό συντήρηση,2
40,πολύκλινο,διαθέσιμη,2
41,πολύκλινο,διαθέσιμη,2
42,πολύκλινο,υπό συντήρηση,2
43,πολύκλινο,κατειλημμένη,2
44,πολύκλινο,διαθέσιμη,2
45,πολύκλινο,υπό συντήρηση,2
46,ΜΕΘ,κατειλημμένη,3
47,ΜΕΘ,διαθέσιμη,3
48,ΜΕΘ,κατειλημμένη,3
49,ΜΕΘ,υπό συντήρηση,3
50,ΜΕΘ,κατειλημμένη,3
51,ΜΕΘ,κατειλημμένη,3
52,ΜΕΘ,κατειλημμένη,3
53,ΜΕΘ,διαθέσιμη,3
54,ΜΕΘ,κατειλημμένη,3
55,ΜΕΘ,κατειλημμένη,3
56,πολύκλινο,κατειλημμένη,5
57,πολύκλινο,υπό συντήρηση,5
58,μονόκλινο,κατειλημμένη,5
59,πολύκλινο,κατειλημμένη,5
60,πολύκλινο,διαθέσιμη,5
61,πολύκλινο,διαθέσιμη,5
62,πολύκλινο,κατειλημμένη,5
63,πολύκλινο,κατειλημμένη,5
64,πολύκλινο,υπό συντήρηση,5
65,πολύκλινο,διαθέσιμη,5
66,μονόκλινο,κατειλημμένη,5
67,μονόκλινο,κατειλημμένη,5
68,πολύκλινο,κατειλημμένη,5
69,πολύκλινο,κατειλημμένη,5
70,πολύκλινο,διαθέσιμη,5
