id_farmakou,onoma_farmakou,energi_ousia
1,A,"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)"
2,A,"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)"
3,A 313,"Vitamin A Concentrate (Oily Form), Synthetic"
4,A 313,"Vitamin A Concentrate (Oily Form), Synthetic"
5,A.A.S,Acetylsalicylic Acid
6,A.A.S.,Acetylsalicylic Acid
7,A.Vogel Hyperiforce,Hypericum Perforatum L.
8,A.Vogel Premenstrual Relief Pms,"Tincture From Agnus Castus Fruit (1:10), Extraction Solvent: Ethanol 69.5% V/V"
9,Aaa Sore Throat,Benzocaine
10,Aacidexam,Dexamethasone Base
11,Aacidexam,Dexamethasone Sodium Phosphate
12,Aacidexam,Dexamethasone Sodium Phosphate
13,Aacifemine,Estriol
14,Aacifemine,Estriol
15,Aacifemine,Estriol
16,Aacifemine,Estriol
17,Aacifemine,Estriol
18,Aarane N,"Reproterol Hydrochloride, Sodium Cromoglicate"
19,Aas,Acetylsalicylic Acid
20,Abacat,"Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol"
21,Abacavir / Lamivudine Auxilia,"Abacavir, Lamivudine"
22,Abacavir / Lamivudine Biogaran,"Abacavir, Lamivudine"
23,Abacavir + Lamivudina Aurovitas,"Abacavir, Lamivudine"
24,Abacavir + Lamivudina Farmoz,"Abacavir, Lamivudine"
25,Abacavir + Lamivudina Mylan,"Abacavir, Lamivudine"
26,Abacavir + Lamivudine Sandoz,"Abacavir, Lamivudine"
27,Abacavir Accord,Abacavir
28,Abacavir Accord,Abacavir
29,Abacavir Arrow,Abacavir
30,Abacavir Aurobindo,Abacavir
31,Abacavir E Lamivudina Aurobindo,"Abacavir, Lamivudine"
32,Abacavir E Lamivudina Sun,"Abacavir, Lamivudine"
33,Abacavir Farmoz,Abacavir
34,Abacavir Generis,Abacavir
35,Abacavir Milpharm,Abacavir
36,Abacavir Mylan,Abacavir
37,Abacavir Mylan,Abacavir
38,Abacavir Mylan,Abacavir
39,Abacavir Sandoz,Abacavir
40,Abacavir Sandoz,Abacavir
41,Abacavir Sulfate / Lamivudine Aurobindo,"Abacavir, Lamivudine"
42,Abacavir Tarbis,Abacavir
43,Abacavir Viatris,Abacavir
44,Abacavir/Lamivudin Al,"Abacavir, Lamivudine"
45,Abacavir/Lamivudin Aurobindo,"Abacavir, Lamivudine"
46,Abacavir/Lamivudin Basics,"Abacavir, Lamivudine"
47,Abacavir/Lamivudin Beta,"Abacavir, Lamivudine"
48,Abacavir/Lamivudin Heumann,"Abacavir, Lamivudine"
49,Abacavir/Lamivudin Hormosan,"Abacavir, Lamivudine"
50,Abacavir/Lamivudin Medical Valley,"Abacavir, Lamivudine"
51,Abacavir/Lamivudin Mylan,"Abacavir, Lamivudine"
52,Abacavir/Lamivudin Mylan,"Abacavir, Lamivudine"
53,Abacavir/Lamivudin Mylan,"Abacavir, Lamivudine"
54,Abacavir/Lamivudin Mylan Pharma,"Abacavir, Lamivudine"
55,Abacavir/Lamivudin Mylan Pharma,"Abacavir, Lamivudine"
56,Abacavir/Lamivudin Puren,"Abacavir, Lamivudine"
57,Abacavir/Lamivudin Ratiopharm,"Abacavir, Lamivudine"
58,Abacavir/Lamivudin Ratiopharm,"Abacavir, Lamivudine"
59,Abacavir/Lamivudin Sandoz,"Abacavir, Lamivudine"
60,Abacavir/Lamivudin Sandoz,"Abacavir, Lamivudine"
61,Abacavir/Lamivudin Stada,"Abacavir, Lamivudine"
62,Abacavir/Lamivudin Teva,"Abacavir, Lamivudine"
63,Abacavir/Lamivudin Teva,"Abacavir, Lamivudine"
64,Abacavir/Lamivudin Viatris,"Abacavir, Lamivudine"
65,Abacavir/Lamivudin Viatris,"Abacavir, Lamivudine"
66,Abacavir/Lamivudin Viatris,"Abacavir, Lamivudine"
67,Abacavir/Lamivudină,"Abacavir, Lamivudine"
68,Abacavir/Lamivudina Aurovitas,"Abacavir, Lamivudine"
69,Abacavir/Lamivudina Dr. Reddys,"Abacavir, Lamivudine"
70,Abacavir/Lamivudina Glenmark,"Abacavir, Lamivudine"
71,Abacavir/Lamivudina Macleods,"Abacavir, Lamivudine"
72,Abacavir/Lamivudină Mylan,"Abacavir, Lamivudine"
73,Abacavir/Lamivudina Tarbis,"Abacavir, Lamivudine"
74,Abacavir/Lamivudina Teva,"Abacavir, Lamivudine"
75,Abacavir/Lamivudina Viatris,"Abacavir, Lamivudine"
76,Abacavir/Lamivudină Viatris,"Abacavir, Lamivudine"
77,Abacavir/Lamivudina/Zidovudina Mylan,"Zidovudine, Abacavir, Lamivudine"
78,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
79,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
80,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
81,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
82,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
83,Abacavir/Lamivudine Accord,"Abacavir, Lamivudine"
84,Abacavir/Lamivudine Amarox,"Abacavir, Lamivudine"
85,Abacavir/Lamivudine Amarox,"Abacavir, Lamivudine"
86,Abacavir/Lamivudine Amarox,"Abacavir, Lamivudine"
87,Abacavir/Lamivudine Arrow,"Abacavir, Lamivudine"
88,Abacavir/Lamivudine Auxilia,"Abacavir, Lamivudine"
89,Abacavir/Lamivudine Dr. Reddy's,"Abacavir, Lamivudine"
90,Abacavir/Lamivudine Eg,"Abacavir, Lamivudine"
91,Abacavir/Lamivudine Glenmark,"Abacavir, Lamivudine"
92,Abacavir/Lamivudine Glenmark,"Abacavir, Lamivudine"
93,Abacavir/Lamivudine Glenmark,"Abacavir, Lamivudine"
94,Abacavir/Lamivudine Lupin Healthcare (Uk),"Abacavir, Lamivudine"
95,Abacavir/Lamivudine Macleods,"Abacavir, Lamivudine"
96,Abacavir/Lamivudine Macleods,"Abacavir, Lamivudine"
97,Abacavir/Lamivudine Macleods Pharma Uk,"Abacavir, Lamivudine"
98,Abacavir/Lamivudine Medical Valley,"Abacavir, Lamivudine"
99,Abacavir/Lamivudine Milpharm,"Abacavir, Lamivudine"
100,Abacavir/Lamivudine Mylan,"Abacavir, Lamivudine"
101,Abacavir/Lamivudine Mylan,"Abacavir, Lamivudine"
102,Abacavir/Lamivudine Mylan,"Abacavir, Lamivudine"
103,Abacavir/Lamivudine Mylan,"Abacavir, Lamivudine"
104,Abacavir/Lamivudine Mylan,"Abacavir, Lamivudine"
105,Abacavir/Lamivudine Mylan Pharma,"Abacavir, Lamivudine"
106,Abacavir/Lamivudine Sandoz,"Abacavir, Lamivudine"
107,Abacavir/Lamivudine Sandoz,"Abacavir, Lamivudine"
108,Abacavir/Lamivudine Sandoz,"Abacavir, Lamivudine"
109,Abacavir/Lamivudine Sandoz,"Abacavir, Lamivudine"
110,Abacavir/Lamivudine Sandoz,"Abacavir, Lamivudine"
111,Abacavir/Lamivudine Stada,"Abacavir, Lamivudine"
112,Abacavir/Lamivudine Stada,"Abacavir, Lamivudine"
113,Abacavir/Lamivudine Stada,"Abacavir, Lamivudine"
114,Abacavir/Lamivudine Stada,"Abacavir, Lamivudine"
115,Abacavir/Lamivudine Sun,"Abacavir, Lamivudine"
116,Abacavir/Lamivudine Teva,"Abacavir, Lamivudine"
117,Abacavir/Lamivudine Teva,"Abacavir, Lamivudine"
118,Abacavir/Lamivudine Teva,"Abacavir, Lamivudine"
119,Abacavir/Lamivudine Unifarma,"Abacavir, Lamivudine"
120,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
