ID_βάρδιας,ID_τμήματος,ημερομηνία,τύπος_βάρδιας
SHIFT_001,DEPT_03,2026-06-16,Πρωί
SHIFT_002,DEPT_05,2026-10-24,Πρωί
SHIFT_003,DEPT_05,2026-05-23,Πρωί
SHIFT_004,DEPT_01,2026-08-14,Νύχτα
SHIFT_005,DEPT_03,2026-12-10,Απόγευμα
SHIFT_006,DEPT_03,2026-03-14,Νύχτα
SHIFT_007,DEPT_03,2026-04-20,Απόγευμα
SHIFT_008,DEPT_04,2026-05-11,Απόγευμα
SHIFT_009,DEPT_05,2026-10-20,Απόγευμα
SHIFT_010,DEPT_01,2026-01-17,Νύχτα
SHIFT_011,DEPT_03,2026-10-04,Νύχτα
SHIFT_012,DEPT_05,2026-09-26,Πρωί
SHIFT_013,DEPT_04,2026-03-05,Απόγευμα
SHIFT_014,DEPT_01,2026-05-14,Νύχτα
SHIFT_015,DEPT_02,2026-07-21,Απόγευμα
SHIFT_016,DEPT_01,2026-04-08,Νύχτα
SHIFT_017,DEPT_05,2026-12-11,Απόγευμα
SHIFT_018,DEPT_01,2026-01-01,Νύχτα
SHIFT_019,DEPT_02,2026-03-25,Απόγευμα
SHIFT_020,DEPT_03,2026-01-21,Απόγευμα
