ID_χώρου          PK,τύπος,ID_τμήματος         FK,όροφος/κτήριο,περιγραφή   Ν
ROOM_1,Χειρουργείο,DEPT_01,Όροφος 4,Αίθουσα 1
ROOM_2,Εξεταστήριο,DEPT_04,Όροφος 4,Αίθουσα 2
ROOM_3,Εξεταστήριο,DEPT_03,Όροφος 3,Αίθουσα 3
ROOM_4,Ακτινολογικό,DEPT_01,Όροφος 3,Αίθουσα 4
ROOM_5,Χειρουργείο,DEPT_05,Όροφος 0,Αίθουσα 5
ROOM_6,Ακτινολογικό,DEPT_05,Όροφος 2,Αίθουσα 6
ROOM_7,Ακτινολογικό,DEPT_01,Όροφος 1,Αίθουσα 7
ROOM_8,Εξεταστήριο,DEPT_05,Όροφος 2,Αίθουσα 8
ROOM_9,Εξεταστήριο,DEPT_02,Όροφος 4,Αίθουσα 9
ROOM_10,Χειρουργείο,DEPT_01,Όροφος 3,Αίθουσα 10
