Κωδικός,Όνομα,Κατηγορία,Διάρκεια (λεπτά),Κόστος (€),Χώρος,Κύριος Ιατρός,Βοηθός 1,Βοηθός 2
Α400001,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",θεραπευτική,89,824,αίθουσα επέμβασης,Courtney Thompson,Kelly Grimes,Melissa Murphy
Α400005,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),χειρουργική,176,1326,χειρουργείο,Michael Valencia,Tiffany Webster,Evan Henry
Α400007,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),χειρουργική,177,4456,χειρουργείο,Kristy Griffin,Jason Nelson,Troy Horton
Α400009,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,θεραπευτική,51,631,αίθουσα επέμβασης,Barbara Baird,Anthony Rhodes,Andrew Schwartz
Α400041,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",θεραπευτική,69,420,αίθουσα επέμβασης,Matthew Bennett,Tiffany Webster,Elizabeth Pace
Α400049,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΩΤΟΣΚΟΠΗΣΗ",θεραπευτική,53,413,αίθουσα επέμβασης,Anthony Rhodes,Laura Beltran,Courtney Thompson
Α400053,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",χειρουργική,258,4175,χειρουργείο,Rachel Ortiz,William Daniels,Michael Valencia
Α400081,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,39,348,αίθουσα επέμβασης,Thomas Norris,Vanessa Davis,Michelle Henderson
Α400085,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,χειρουργική,199,1589,χειρουργείο,Shannon Walker,Andrew Schwartz,Thomas Norris
Α400089,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΜΕΤΑΜΟΣΧΕΥΣΗ ΚΕΡΑΤΟΕΙΔΟΥΣ,θεραπευτική,48,422,αίθουσα επέμβασης,Kelsey Barrera,Calvin Rowe,Cheryl Sanchez
