code,description
A00.0,Cholera with moderate dehydration
A00.1,Cholera with severe dehydration
A00.9,"Cholera, unspecified"
A01.00,Typhoid fever with meningitis
A01.01,Typhoid fever with myocarditis
A01.02,Typhoid fever with myositis
A01.03,Typhoid fever with sepsis
A01.04,Typhoid fever with pneumonia
A01.05,Typhoid fever with other complications
A01.09,Typhoid fever without complications
A02.0,Salmonella gastroenteritis
A02.1,Salmonella sepsis
A02.2,Localized salmonella infection
A02.8,Other specified salmonella infection
A02.9,"Salmonella infection, unspecified"
A03.0,Shigellosis due to Shigella dysenteriae
A03.1,Shigellosis due to Shigella flexneri
A03.2,Shigellosis due to Shigella boydii
A03.3,Shigellosis due to Shigella sonnei
A03.8,Other shigellosis
A03.9,"Shigellosis, unspecified"
A04.0,Enteropathogenic Escherichia coli infection
A04.1,Enterotoxigenic Escherichia coli infection
A04.2,Enteroinvasive Escherichia coli infection
A04.3,Enteroaggregative Escherichia coli infection
A04.4,Other intestinal Escherichia coli infections
A04.5,Campylobacter jejuni infection
A04.6,Enteritis due to Yersinia enterocolitica
A04.7,Enteritis due to Clostridium difficile
A04.8,Other specified bacterial intestinal infections
A04.9,"Bacterial intestinal infection, unspecified"
A05.0,Foodborne staphylococcal intoxication
A05.1,Botulism food poisoning
A05.2,Foodborne Clostridium perfringens intoxication
A05.3,Foodborne Vibrio parahaemolyticus intoxication
A05.4,Foodborne Bacillus cereus intoxication
A05.5,Foodborne Vibrio vulnificus intoxication
A05.8,Other specified foodborne bacterial intoxications
A05.9,"Foodborne bacterial intoxication, unspecified"
A06.0,Acute dysentery
A06.1,Chronic intestinal amebiasis
A06.2,Nondysenteric amebiasis
A06.3,Amebic liver abscess
A06.4,Amebic lung abscess
A06.5,Amebic brain abscess
A06.8,Amebiasis with other complications
A06.9,"Amebiasis, unspecified"
A07.0,Balantidiasis
A07.1,Giardiasis [lambliasis]
A07.2,Cryptosporidiosis
A07.3,Cyclosporiasis
A07.4,Isosporiasis
A07.8,Other specified protozoal intestinal diseases
A07.9,"Protozoal intestinal disease, unspecified"
A08.0,Rotaviral enteritis
A08.1,Acute gastroenteritis due to Norwalk agent
A08.2,Adenoviral enteritis
A08.3,Other viral enteritis
A08.4,"Viral intestinal infection, unspecified"
A09,Diarrhea and gastroenteritis of infectious origin
A15.0,Tuberculosis of lung
A15.4,Tuberculosis of intrathoracic lymph nodes
A15.5,"Tuberculosis of larynx, trachea and bronchus"
A15.6,Tuberculous otitis media
A15.7,Tuberculosis of adrenal glands
A15.8,Tuberculosis of other intrathoracic organs
A15.9,Respiratory tuberculosis unspecified
